Learning Rate,Epochs,Architecture,Activation,Optimizer,Batch Size,MSE,RMSE,R²,Loss History,Val Loss History
0.001,20,"[244, 64, 1]",relu,sgd,32,922.4527830836198,30.37190779459894,0.40564630083659126,"[1149.2131610084211, 784.373653810733, 720.9395332603451, 694.3020815211211, 676.3666579755055, 662.3566500078903, 677.4392476949254, 667.6750286789611, 658.4466128275976, 663.4682331551018, 668.451160245888, 663.4477137190312, 661.7502439840673, 646.8285206775217, 652.2283131722025, 647.9930637485876, 647.184321290946, 675.8031666747743, 692.152137239614, 734.8433436590025]","[695.7287071615376, 1081.4560097932992, 636.214151216594, 1238.9906296101847, 647.2113110459834, 708.9890292606716, 726.5306495193083, 735.0023006685781, 627.2218866749174, 712.1759855133502, 722.8882658738041, 692.5525211784957, 681.4911253514553, 763.4479116279708, 721.2668066104454, 631.655454238931, 865.7259582299165, 708.2502028615365, 890.8016634243496, 899.7785062275858]"
0.001,30,"[244, 64, 1]",relu,batch,32,1098.1070698359765,33.13769862009093,0.2924689360763296,"[6765.250910066688, 6762.96984190759, 6748.489516168767, 6705.656226537726, 6660.2017612192885, 6611.948546681495, 6558.3793362432125, 6496.843902913258, 6424.2953815075625, 6336.980570410125, 6230.396761447598, 6099.094844868993, 5936.689901992037, 5736.207969721991, 5490.688319123358, 5194.492429017182, 4845.829656692832, 4448.765362807979, 4015.3819140046817, 3565.861016854776, 3125.758765967573, 2720.592422944917, 2368.7330595180533, 2076.5817853876356, 1839.5181400500915, 1645.901845123577, 1484.049129349222, 1345.1937483526065, 1224.5741030660975, 1120.1046086801032]","[7317.7757760384275, 7302.339516518394, 7256.689019828145, 7208.0858622461565, 7156.323404062107, 7098.625839330445, 7032.028718071175, 6953.135112375191, 6857.760078862086, 6740.896157930392, 6596.429113379825, 6417.247226096181, 6195.470982317833, 5923.409586190614, 5594.7605624245, 5207.554958098005, 4766.290068918692, 4284.652171022638, 3785.403884330549, 3297.3470565837174, 2849.284154742709, 2462.281452326437, 2143.869902793125, 1888.7354834898065, 1684.2272362307497, 1516.6353955801023, 1375.385160843608, 1254.282589731641, 1150.24034617892, 1062.4105319872203]"
0.01,20,"[244, 64, 1]",relu,batch,32,3426.819046907914,58.539038657189394,-1.2079640435197385,"[6751.971327495797, 6333.698835443371, 4739.193695214612, 1790.216215867925, 1206.2424891741773, 2539.1800294907375, 5579.5149196546445, 4889.531188934149, 4313.388376923973, 1477.3168657322726, 2141.8890373955455, 5045.395331494631, 4340.546826592565, 2728.488376097089, 2331.015109020346, 5203.139996335705, 4293.419741766876, 3333.749654763703, 942.7587765044807, 1355.527425434968]","[6852.733717283676, 5091.834198688748, 1790.5838579173965, 1332.3153326249717, 2632.1916511656304, 6122.810548539063, 5419.059022425718, 4824.8584654457345, 1662.7626226350267, 2222.0478223965997, 5575.110471871666, 4840.00892772725, 3035.720444462655, 2378.9064840334695, 5719.326017396612, 4803.777575251949, 3762.0425082968172, 1031.2196797614927, 1382.776095367569, 3550.6316743660254]"
0.001,20,"[244, 64, 1]",relu,batch,32,3673.3975973062425,60.6085604292516,-1.3668392469460722,"[6765.96584921899, 6765.546567964755, 6764.491901707247, 6760.009050467515, 6738.865269344643, 6695.648417738627, 6644.243106941597, 6588.532312980352, 6525.632323543278, 6452.033910586231, 6363.485439051822, 6254.957993458304, 6120.512322827167, 5953.208273415082, 5745.6819568083965, 5491.317855643101, 5184.997446180998, 4825.448608479815, 4417.613625543466, 3974.6489049191005]","[7320.38279809513, 7319.341350539198, 7314.4043859961475, 7291.002646119189, 7244.284514583888, 7188.948431894104, 7128.75515944026, 7060.484936820504, 6980.206674675578, 6883.165881353605, 6763.77771289156, 6615.397724589728, 6430.246214720823, 6200.096965040521, 5917.604480481658, 5577.147953614999, 5177.41115207227, 4724.217939825542, 4232.6517506921045, 3726.5762637718426]"
0.01,30,"[244, 128, 64, 1]",tanh,sgd,32,7012.432884038477,83.74027038431674,-3.5182425606987247,"[6621.444553950965, 6621.415075349462, 6621.415066803015, 6621.415063119671, 6621.415061047834, 6621.415059713254, 6621.41505878001, 6621.4150580897685, 6621.415057557879, 6621.415057135113, 6621.415056790839, 6621.415056504891, 6621.415056263482, 6621.415056056902, 6621.415055878086, 6621.4150557217545, 6621.415055583865, 6621.415055461311, 6621.415055351655, 6621.415055252949, 6621.415055163618, 6621.415055082365, 6621.415055008145, 6621.4150549400765, 6621.41505487742, 6621.415054819547, 6621.41505476592, 6621.415054716092, 6621.415054669666, 6621.415054626303]","[7171.067322704304, 7171.067305990622, 7171.067299997266, 7171.0672969034695, 7171.067295007641, 7171.067293724602, 7171.067292797688, 7171.067292095979, 7171.067291545744, 7171.067291102576, 7171.067290737753, 7171.067290432106, 7171.067290172159, 7171.067289948399, 7171.067289753686, 7171.0672895826765, 7171.067289431238, 7171.067289296178, 7171.0672891749555, 7171.067289065547, 7171.067288966277, 7171.067288875789, 7171.067288792965, 7171.067288716866, 7171.0672886467055, 7171.067288581789, 7171.067288521559, 7171.0672884655205, 7171.067288413245, 7171.067288364362]"
0.01,20,"[244, 64, 1]",tanh,sgd,32,7012.432891216661,83.74027042717655,-3.5182425653237646,"[6626.366355765538, 6621.415056841724, 6621.4150564432075, 6621.415056129537, 6621.415055877176, 6621.41505566947, 6621.415055494898, 6621.415055346205, 6621.415055218336, 6621.415055106271, 6621.415055007547, 6621.41505491971, 6621.415054841512, 6621.415054770863, 6621.415054706868, 6621.4150546485735, 6621.415054595504, 6621.415054546584, 6621.415054501664, 6621.415054459982]","[7171.067292905388, 7171.067292321615, 7171.067291853537, 7171.067291468817, 7171.067291145985, 7171.067290870414, 7171.067290632148, 7171.067290423667, 7171.067290239355, 7171.067290075161, 7171.067289927795, 7171.067289794768, 7171.067289673865, 7171.067289563474, 7171.067289462244, 7171.067289369087, 7171.067289282938, 7171.067289203076, 7171.067289128756, 7171.067289059453]"
0.01,30,"[244, 64, 1]",tanh,sgd,32,7012.432892097017,83.74027043243304,-3.5182425658909944,"[6621.483199793234, 6621.415290563517, 6621.415187042059, 6621.415146057767, 6621.4151240779565, 6621.415110394312, 6621.415101069975, 6621.415094315993, 6621.4150892033695, 6621.4150852017965, 6621.415081986491, 6621.415079347791, 6621.41507714433, 6621.415075277398, 6621.4150736758465, 6621.415072287227, 6621.415071072006, 6621.415069999849, 6621.4150690470715, 6621.415068194929, 6621.415067428401, 6621.415066735293, 6621.415066105617, 6621.415065531117, 6621.415065004892, 6621.415064521155, 6621.415064074996, 6621.4150636622335, 6621.4150632792835, 6621.415062923049]","[7171.0676559062895, 7171.067462756523, 7171.067400971759, 7171.067370840575, 7171.067353082496, 7171.067341409338, 7171.067333166041, 7171.067327042822, 7171.067322320205, 7171.067318569855, 7171.067315521312, 7171.06731299579, 7171.067310870285, 7171.067309057489, 7171.067307493505, 7171.067306130825, 7171.067304933193, 7171.067303872564, 7171.067302926875, 7171.067302078528, 7171.067301313379, 7171.067300619818, 7171.067299988349, 7171.067299411046, 7171.067298881286, 7171.067298393472, 7171.067297942844, 7171.067297525349, 7171.067297137486, 7171.067296776231]"
0.01,30,"[244, 128, 64, 1]",sigmoid,sgd,32,7012.432894803052,83.74027044859034,-3.518242567634543,"[6621.426938730814, 6621.4153331391135, 6621.41521329349, 6621.415165236225, 6621.415139249506, 6621.415122972537, 6621.415111827046, 6621.415103721758, 6621.415097565251, 6621.415092732217, 6621.415088838716, 6621.4150856360275, 6621.415082955971, 6621.415080680771, 6621.415078725502, 6621.4150770273955, 6621.415075539069, 6621.415074224078, 6621.415073053942, 6621.415072006083, 6621.415071062374, 6621.415070208093, 6621.415069431165, 6621.415068721584, 6621.415068071001, 6621.415067472386, 6621.415066919782, 6621.4150664081035, 6621.415065932991, 6621.415065490677]","[7171.067712737945, 7171.067493692459, 7171.067422489864, 7171.067387421964, 7171.067366608323, 7171.067352849607, 7171.067343089866, 7171.067335812882, 7171.067330181686, 7171.067325696835, 7171.067322042042, 7171.067319007348, 7171.067316447952, 7171.067314260789, 7171.067312370521, 7171.067310720808, 7171.06730926869, 7171.067307980835, 7171.067306830994, 7171.067305798214, 7171.06730486557, 7171.067304019242, 7171.067303247831, 7171.067302541864, 7171.067301893388, 7171.067301295692, 7171.067300743063, 7171.0673002306185, 7171.067299754145, 7171.067299310003]"
0.01,20,"[244, 128, 64, 1]",sigmoid,sgd,32,7012.432900780762,83.7402704842823,-3.5182425714860948,"[6621.432002957666, 6621.41532598083, 6621.41520928515, 6621.41516246942, 6621.415137148216, 6621.415121285318, 6621.415110421772, 6621.415102520487, 6621.415096518205, 6621.41509180571, 6621.415088008919, 6621.4150848854715, 6621.415082271471, 6621.415080052144, 6621.415078144727, 6621.415076488042, 6621.415075035903, 6621.415073752785, 6621.415072610927, 6621.415071588315]","[7171.067700732414, 7171.067487975743, 7171.06741878044, 7171.0673846947375, 7171.067364461369, 7171.06735108478, 7171.0673415951715, 7171.067334518939, 7171.067329042607, 7171.067324680733, 7171.067321125874, 7171.067318173922, 7171.067315684122, 7171.067313556279, 7171.067311717149, 7171.067310111961, 7171.06730869894, 7171.067307445681, 7171.067306326658, 7171.067305321499]"
0.01,30,"[244, 64, 1]",sigmoid,sgd,32,7012.432905989489,83.74027051538279,-3.5182425748421755,"[6621.4303249073455, 6621.415549299681, 6621.415342294043, 6621.415257784137, 6621.4152115766465, 6621.415182399788, 6621.415162294238, 6621.415147596489, 6621.415136383271, 6621.415127546808, 6621.415120404163, 6621.415114511162, 6621.4151095664, 6621.4151053582245, 6621.415101733595, 6621.415098579098, 6621.415095808925, 6621.415093356957, 6621.415091171401, 6621.415089211119, 6621.415087443031, 6621.415085840218, 6621.41508438057, 6621.415083045755, 6621.415081820428, 6621.4150806916705, 6621.415079648514, 6621.415078681589, 6621.415077782843, 6621.415076945323]","[7171.068017778728, 7171.067650391597, 7171.0675283725095, 7171.067467523575, 7171.067431090638, 7171.0674068439275, 7171.067389550155, 7171.067376596513, 7171.067366533141, 7171.06735849058, 7171.067351916689, 7171.0673464431065, 7171.067341815312, 7171.067337851548, 7171.067334418689, 7171.067331416853, 7171.06732876982, 7171.067326418269, 7171.067324315412, 7171.067322423836, 7171.067320713263, 7171.067319158937, 7171.067317740414, 7171.067316440678, 7171.067315245419, 7171.067314142556, 7171.067313121784, 7171.067312174283, 7171.067311292445, 7171.067310469694]"
